CEchoService::initialize(int aArgc, const char *aArgv[])
3/4/2013 4:24:56 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:56 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:56 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:57 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:57 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:57 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:57 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:57 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:58 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:58 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:58 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:58 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:58 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:59 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:59 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:59 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:59 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:59 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:00 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:00 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:00 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:00 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:00 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:01 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:01 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:01 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:01 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:01 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:02 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:02 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:02 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:02 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
